ID,Intitulé_emploi,ROME niveau 1 lib,ROME niveau 2 lib,CodeROME,Intitulé ROME,FAPcode,FAPlib,PCScode,PCSlib,Statut_emploi,Niveau_emploi,Type_employeur,Secteur_activité_entreprise,Effectif_entreprise,Temps_travail,Quotité_partiel,Classe_rémuneration_mensuelle,Département_emploi,Mode_obtention,Durée_accès,Année_diplôme,Code_diplôme,Composante_diplôme,Mention_diplôme,Spécialité_diplôme,Domaine_diplôme,Filière_diplôme,Diplôme_ROME1,Diplôme_ROME2,Diplôme_ROME3,Diplôme_ROME4,Diplôme_ROME5
,Formateur en Bureautique Informatique,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Formation initiale et continue,K2111,Formation professionnelle,,,,,Vacataire,Niveau ingénieur ou cadre,Une entreprise privée,Information et communication,de 1 à 2,,,1000 à 1500,,Réseau de relations personnelles/familiales,12 mois et plus,2009,2211176,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION",INGENIERIE DE LA CREATION MULTIMEDIA ET DIRECTION ARTISTIQUE DE PROJETS,,INFOCOM,,,,,
,Responsable de communication,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1103,Communication,,,,,CDD,Niveau ouvrier ou employé,"La fonction publique (d'Etat, territoriale ou hospitalière)",Enseignement,de 3 à 9,,,1500 à 2000,,Réseau de relations tissées durant les études,4 à 6 mois,2009,2211176,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION",INGENIERIE DE LA CREATION MULTIMEDIA ET DIRECTION ARTISTIQUE DE PROJETS,,INFOCOM,,,,,
,psychologue psychanaliste,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Accompagnement de la personne,K1104,Psychologie,,,,,"Profession libérale, indépendant, chef d'entreprise",Niveau ingénieur ou cadre,Vous-même,Santé humaine et action sociale,Pas de salarié,,,,,Autre mode d'obtention,12 mois et plus,2009,2220736,UFR LASH,"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS:DANSE, MUSIQUE, THEATRE",THEORIE ET PRATIQUE DES ARTS,,ARTS,,,,,
,assistante achat,"COMMERCE, VENTE ET GRANDE DISTRIBUTION",Force de vente,D1401,Assistanat commercial,,,,,CDI,Niveau ouvrier ou employé,Une entreprise privée,"Industries (manufacturières, extractives et autres)",de 50 à 199,,,1000 à 1500,,Candidature spontanée par Internet,12 mois et plus,2009,2220735,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION",DISPOSITIF SOCIO-TECHNIQUES D'INFORMATION ET DE COMMUNICATION,,INFOCOM,,,,,
,professeur,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Formation initiale et continue,K2107,Enseignement général du second degré,,,,,Fonctionnaire,Niveau ingénieur ou cadre,"La fonction publique (d'Etat, territoriale ou hospitalière)",Enseignement,,,,1500 à 2000,,Concours administratif,12 mois et plus,2009,2224597,UFR LASH,"ARTS, LETTRES, LANGUES : LANGUES APPLIQUEES","LANGUES, CIVILISATION ET LITTERATURES ETRANGERES",,LANGUES,,,,,
,formatrice fle,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Formation initiale et continue,K2111,Formation professionnelle,,,,,CDD,Niveau ouvrier ou employé,Une association,Enseignement,de 10 à 49,,,1500 à 2000,,"Organismes publics d'aide à l'emploi (Pôle Emploi, APEC...)",1 à 3 mois,2009,2201859,UFR LASH,"ARTS, LETTRES, LANGUES : DIDACTIQUES DES LANGUES",DIDACTIQUE DES LANGUES,,LANGUES,,,,,
,réceptioniste,HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION,Accueil en hôtellerie,G1703,Réception en hôtellerie,,,,,CDI,Niveau ouvrier ou employé,Une entreprise privée,"Commerce, transports, hébergement et restauration",de 50 à 199,,,1500 à 2000,,Candidature spontanée par Internet,7 à 11 mois,2009,2220743,UFR LASH,"ARTS, LETTRES, LANGUES : LINGUISTIQUE",LINGUISTIQUE,,LINGUISTIQUE,,,,,
,agent de sécurité,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Sécurité privée,K2503,Sécurité et surveillance privées,,,,,CDI,Niveau ouvrier ou employé,Une entreprise privée,Autres activités de service,de 10 à 49,,,1000 à 1500,,"Organismes publics d'aide à l'emploi (Pôle Emploi, APEC...)",12 mois et plus,2009,2211178,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","MEDITERRANEE:IDENTITES, COMMUNICATION ET DEVELOPPEMENTS INTERCULTURELS",,INFOCOM,,,,,
,Formateur de Français,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Formation initiale et continue,K2111,Formation professionnelle,,,,,CDD,,Une entreprise privée,Enseignement,de 3 à 9,,,,,Candidature spontanée par Internet,12 mois et plus,2009,2201859,UFR LASH,"ARTS, LETTRES, LANGUES : DIDACTIQUES DES LANGUES",DIDACTIQUE DES LANGUES,,LANGUES,,,,,
,Professeur particulier en français et FLES,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Formation initiale et continue,K2111,Formation professionnelle,,,,,"Profession libérale, indépendant, chef d'entreprise",Niveau ingénieur ou cadre,Vous-même,Enseignement,Pas de salarié,,,1000 à 1500,,Réseaux sociaux et professionnels sur Internet,12 mois et plus,2009,2201859,UFR LASH,"ARTS, LETTRES, LANGUES : DIDACTIQUES DES LANGUES",DIDACTIQUE DES LANGUES,,LANGUES,,,,,
,assistante parlementaire,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1103,Communication,,,,,CDD,,"La fonction publique (d'Etat, territoriale ou hospitalière)",Administration publique,de 1 à 2,,,,,Réseau de relations personnelles/familiales,Accès direct,2009,2214608,UFR LASH,"ARTS, LETTRES, LANGUES : LANGUES APPLIQUEES",LANGUES ET AFFAIRES INTERNATIONALES,,LANGUES,,,,,
,Directeur Artistique,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1104,Conception de contenus multimédias,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Information et communication,de 10 à 49,,,1500 à 2000,,Candidature spontanée par Internet,12 mois et plus,2009,2211176,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION",INGENIERIE DE LA CREATION MULTIMEDIA ET DIRECTION ARTISTIQUE DE PROJETS,,INFOCOM,,,,,
,FREELANCE MULTIMEDIA,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1104,Conception de contenus multimédias,,,,,CDD,Niveau technicien ou agent de maîtrise,Une association,"Arts, spectacles et activités récréatives",de 10 à 49,,,1500 à 2000,,Candidature spontanée par Internet,1 à 3 mois,2009,2211176,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION",INGENIERIE DE LA CREATION MULTIMEDIA ET DIRECTION ARTISTIQUE DE PROJETS,,INFOCOM,,,,,
,Chargé de mission culturelle,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Développement territorial et emploi,K1802,Développement local,,,,,Volontariat international,Niveau ingénieur ou cadre,"La fonction publique (d'Etat, territoriale ou hospitalière)","Arts, spectacles et activités récréatives",de 10 à 49,,,1500 à 2000,,Réseau de relations tissées durant les études,12 mois et plus,2009,2211177,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","MEDIATION ET INGENIERIE CULTURELLES:MUSEOLOGIE, ARTS ACTUELS ET PATRIMOINE",,INFOCOM,,,,,
,consultant formateur,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Formation initiale et continue,K2111,Formation professionnelle,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Enseignement,de 200 à 499,,,1500 à 2000,,Candidature spontanée par Internet,Accès direct,2009,2220735,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION",DISPOSITIF SOCIO-TECHNIQUES D'INFORMATION ET DE COMMUNICATION,,INFOCOM,,,,,
,ASSISTANTE ADMINISTRATIVE TRILINGUE,SUPPORT À L'ENTREPRISE,Secrétariat et assistance,M1602,Opérations administratives,,,,,CDI,Niveau ouvrier ou employé,Une entreprise privée,"Industries (manufacturières, extractives et autres)",de 200 à 499,,,1000 à 1500,,Candidature spontanée par Internet,12 mois et plus,2009,2211178,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","MEDITERRANEE:IDENTITES, COMMUNICATION ET DEVELOPPEMENTS INTERCULTURELS",,INFOCOM,,,,,
,Consultante indépendante,"COMMERCE, VENTE ET GRANDE DISTRIBUTION",Force de vente,D1403,Relation commerciale auprès de particuliers,,,,,"Profession libérale, indépendant, chef d'entreprise",Niveau ingénieur ou cadre,Vous-même,Information et communication,Pas de salarié,,,2500 et plus,,Réseau de relations personnelles/familiales,12 mois et plus,2009,2211177,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","MEDIATION ET INGENIERIE CULTURELLES:MUSEOLOGIE, ARTS ACTUELS ET PATRIMOINE",,INFOCOM,,,,,
,Traductrice et adaptatrice dans l'audiovisuel,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1108,"Traduction, interprétariat",,,,,,,,Autres activités de service,,,,,,Stage(s),4 à 6 mois,2009,2211180,UFR LASH,"ARTS, LETTRES, LANGUES : LANGUES APPLIQUEES","TRADUCTION SPECIALISEE (TRADUCTION,SOUS TITRAGE, ET DOUBLAGE DES PRODUCTIONS AUDIOVISUELLES)",,LANGUES,,,,,
,Chargée de cours - Consultante,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Formation initiale et continue,K2106,Enseignement des écoles,,,,,"Profession libérale, indépendant, chef d'entreprise",Niveau ingénieur ou cadre,"La fonction publique (d'Etat, territoriale ou hospitalière)",Enseignement,,,,,,Autre mode d'obtention,Accès direct,2009,2211177,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","MEDIATION ET INGENIERIE CULTURELLES:MUSEOLOGIE, ARTS ACTUELS ET PATRIMOINE",,INFOCOM,,,,,
,Assistante de galerie,"BANQUE, ASSURANCE, IMMOBILIER",Immobilier,C1502,Gestion locative immobilière,,,,,CDI,Niveau ouvrier ou employé,Une entreprise privée,"Arts, spectacles et activités récréatives",de 1 à 2,,,1500 à 2000,,"Organismes publics d'aide à l'emploi (Pôle Emploi, APEC...)",12 mois et plus,2009,2211177,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","MEDIATION ET INGENIERIE CULTURELLES:MUSEOLOGIE, ARTS ACTUELS ET PATRIMOINE",,INFOCOM,,,,,
,Adaptateur audiovisuel,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1102,"Ecriture d'ouvrages, de livres",,,,,"Profession libérale, indépendant, chef d'entreprise",,Une entreprise privée,Information et communication,de 10 à 49,,,1500 à 2000,,Réseau de relations tissées durant les études,Accès direct,2009,2211180,UFR LASH,"ARTS, LETTRES, LANGUES : LANGUES APPLIQUEES","TRADUCTION SPECIALISEE (TRADUCTION,SOUS TITRAGE, ET DOUBLAGE DES PRODUCTIONS AUDIOVISUELLES)",,LANGUES,,,,,
,assistante de production et de diffusion,SPECTACLE,Conception et production de spectacles,L1302,"Production et administration spectacle, cinéma et audiovisuel",,,,,CDI,Niveau technicien ou agent de maîtrise,Une entreprise privée,"Arts, spectacles et activités récréatives",de 3 à 9,,,1000 à 1500,,"Organismes publics d'aide à l'emploi (Pôle Emploi, APEC...)",12 mois et plus,2009,2211177,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","MEDIATION ET INGENIERIE CULTURELLES:MUSEOLOGIE, ARTS ACTUELS ET PATRIMOINE",,INFOCOM,,,,,
,Directrice de clientèle,SUPPORT À L'ENTREPRISE,"Stratégie commerciale, marketing et supervision des ventes",M1707,Stratégie commerciale,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Information et communication,de 10 à 49,,,2000 à 2500,,Stage(s),Accès direct,2009,2220735,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION",DISPOSITIF SOCIO-TECHNIQUES D'INFORMATION ET DE COMMUNICATION,,INFOCOM,,,,,
,Assistante Relations Internationales,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1103,Communication,,,,,CDI,Niveau ouvrier ou employé,Une entreprise privée,Enseignement,de 50 à 199,,,1000 à 1500,,"Organismes publics d'aide à l'emploi (Pôle Emploi, APEC...)",12 mois et plus,2009,2214608,UFR LASH,"ARTS, LETTRES, LANGUES : LANGUES APPLIQUEES",LANGUES ET AFFAIRES INTERNATIONALES,,LANGUES,,,,,
,Traducteur interprète,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1108,"Traduction, interprétariat",,,,,"Profession libérale, indépendant, chef d'entreprise",Niveau ingénieur ou cadre,Vous-même,Information et communication,Pas de salarié,,,1000 à 1500,,Candidature spontanée par Internet,1 à 3 mois,2009,2211180,UFR LASH,"ARTS, LETTRES, LANGUES : LANGUES APPLIQUEES","TRADUCTION SPECIALISEE (TRADUCTION,SOUS TITRAGE, ET DOUBLAGE DES PRODUCTIONS AUDIOVISUELLES)",,LANGUES,,,,,
,enseignant de Méthode Feldenkrais,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Formation initiale et continue,K2109,Enseignement technique et professionnel,,,,,Vacataire,Niveau ingénieur ou cadre,Une entreprise privée,Santé humaine et action sociale,de 3 à 9,,,Moins de 1000,,Réseau de relations personnelles/familiales,12 mois et plus,2009,2220736,UFR LASH,"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS:DANSE, MUSIQUE, THEATRE",THEORIE ET PRATIQUE DES ARTS,,ARTS,,,,,
,Traducteur audiovisuel,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1108,"Traduction, interprétariat",,,,,"Profession libérale, indépendant, chef d'entreprise",Niveau ingénieur ou cadre,Vous-même,"Arts, spectacles et activités récréatives",Pas de salarié,,,2000 à 2500,,,Accès direct,2009,2211180,UFR LASH,"ARTS, LETTRES, LANGUES : LANGUES APPLIQUEES","TRADUCTION SPECIALISEE (TRADUCTION,SOUS TITRAGE, ET DOUBLAGE DES PRODUCTIONS AUDIOVISUELLES)",,LANGUES,,,,,
,CHARGEE DE PRODUCTION,INDUSTRIE,"Direction, encadrement et pilotage de fabrication et production industrielles",H2502,Management et ingénierie de production,,,,,CDI,Niveau technicien ou agent de maîtrise,Une entreprise privée,"Arts, spectacles et activités récréatives",de 10 à 49,,,1000 à 1500,,Stage(s),Accès direct,2009,2211180,UFR LASH,"ARTS, LETTRES, LANGUES : LANGUES APPLIQUEES","TRADUCTION SPECIALISEE (TRADUCTION,SOUS TITRAGE, ET DOUBLAGE DES PRODUCTIONS AUDIOVISUELLES)",,LANGUES,,,,,
,Webmestre / Infographiste,"COMMUNICATION, MEDIA ET MULTIMEDIA",Images et sons,E1205,Réalisation de contenus multimédias,,,,,CDD,Niveau ingénieur ou cadre,"La fonction publique (d'Etat, territoriale ou hospitalière)",Information et communication,de 50 à 199,,,1500 à 2000,,Stage(s),Accès direct,2009,2211175,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","COMMUNICATION ECOCITOYENNE, PATRIMOINE ET DEVELOPPEMENT DURABLE",,INFOCOM,,,,,
,Professeur documentaliste stagiaire,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Culture et gestion documentaire,K1601,Gestion de l'information et de la documentation,,,,,Fonctionnaire,Niveau ingénieur ou cadre,"La fonction publique (d'Etat, territoriale ou hospitalière)",Enseignement,de 200 à 499,,,1500 à 2000,,Concours administratif,12 mois et plus,2009,2220743,UFR LASH,"ARTS, LETTRES, LANGUES : LINGUISTIQUE",LINGUISTIQUE,,LINGUISTIQUE,,,,,
,Guide conférencière,HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION,Animation d'activités de loisirs,G1201,"Accompagnement de voyages, d'activités culturelles ou sportives",,,,,CDD,Niveau ingénieur ou cadre,Une entreprise publique,"Arts, spectacles et activités récréatives",de 200 à 499,,,1000 à 1500,,Réseaux sociaux et professionnels sur Internet,1 à 3 mois,2009,2211177,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","MEDIATION ET INGENIERIE CULTURELLES:MUSEOLOGIE, ARTS ACTUELS ET PATRIMOINE",,INFOCOM,,,,,
,Coordonnateur de projets de traduction senior,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1108,"Traduction, interprétariat",,,,,CDI,Niveau ouvrier ou employé,Une entreprise privée,"Arts, spectacles et activités récréatives",500 et plus,,,,,Stage(s),Accès direct,2009,2211180,UFR LASH,"ARTS, LETTRES, LANGUES : LANGUES APPLIQUEES","TRADUCTION SPECIALISEE (TRADUCTION,SOUS TITRAGE, ET DOUBLAGE DES PRODUCTIONS AUDIOVISUELLES)",,LANGUES,,,,,
,traductrice-adaptatrice dans l'audiovisuel,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1108,"Traduction, interprétariat",,,,,"Profession libérale, indépendant, chef d'entreprise",Niveau ingénieur ou cadre,Vous-même,"Arts, spectacles et activités récréatives",Pas de salarié,,,1500 à 2000,,Stage(s),1 à 3 mois,2009,2211180,UFR LASH,"ARTS, LETTRES, LANGUES : LANGUES APPLIQUEES","TRADUCTION SPECIALISEE (TRADUCTION,SOUS TITRAGE, ET DOUBLAGE DES PRODUCTIONS AUDIOVISUELLES)",,LANGUES,,,,,
,assistante assurance Qualité,"BANQUE, ASSURANCE, IMMOBILIER",Gestion administrative banque et assurances,C1401,Gestion en banque et assurance,,,,,CDD,Niveau ingénieur ou cadre,Une entreprise privée,"Industries (manufacturières, extractives et autres)",de 200 à 499,,,2000 à 2500,,Autre mode d'obtention,12 mois et plus,2009,2211175,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","COMMUNICATION ECOCITOYENNE, PATRIMOINE ET DEVELOPPEMENT DURABLE",,INFOCOM,,,,,
,Chargée de mission Audiovisuel,SPECTACLE,Conception et production de spectacles,L1302,"Production et administration spectacle, cinéma et audiovisuel",,,,,Volontariat international,Niveau ingénieur ou cadre,"La fonction publique (d'Etat, territoriale ou hospitalière)",Administration publique,de 10 à 49,,,1500 à 2000,,Candidature spontanée par Internet,4 à 6 mois,2009,2220735,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION",DISPOSITIF SOCIO-TECHNIQUES D'INFORMATION ET DE COMMUNICATION,,INFOCOM,,,,,
,Chargé de communication,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1103,Communication,,,,,CDD,Niveau technicien ou agent de maîtrise,Une association,"Arts, spectacles et activités récréatives",de 3 à 9,,,Moins de 1000,,"Organismes publics d'aide à l'emploi (Pôle Emploi, APEC...)",12 mois et plus,2009,2211178,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","MEDITERRANEE:IDENTITES, COMMUNICATION ET DEVELOPPEMENTS INTERCULTURELS",,INFOCOM,,,,,
,chef de projet digital,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Conception et mise en oeuvre des politiques publiques,K1404,Mise en oeuvre et pilotage de la politique des pouvoirs publics,,,,,CDD,Niveau ingénieur ou cadre,"La fonction publique (d'Etat, territoriale ou hospitalière)",Administration publique,de 50 à 199,,,2000 à 2500,,Réseau de relations personnelles/familiales,12 mois et plus,2009,2211176,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION",INGENIERIE DE LA CREATION MULTIMEDIA ET DIRECTION ARTISTIQUE DE PROJETS,,INFOCOM,,,,,
,Professeur d'italien,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Formation initiale et continue,K2107,Enseignement général du second degré,,,,,CDI,,Une entreprise privée,Enseignement,de 10 à 49,,,1500 à 2000,,Autre mode d'obtention,7 à 11 mois,2009,2214608,UFR LASH,"ARTS, LETTRES, LANGUES : LANGUES APPLIQUEES",LANGUES ET AFFAIRES INTERNATIONALES,,LANGUES,,,,,
,Sous-titreuse adaptatrice Télétexte,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1102,"Ecriture d'ouvrages, de livres",,,,,"Profession libérale, indépendant, chef d'entreprise",Niveau ingénieur ou cadre,Une entreprise privée,"Arts, spectacles et activités récréatives",de 50 à 199,,,1000 à 1500,,Candidature spontanée par courrier,1 à 3 mois,2009,2211180,UFR LASH,"ARTS, LETTRES, LANGUES : LANGUES APPLIQUEES","TRADUCTION SPECIALISEE (TRADUCTION,SOUS TITRAGE, ET DOUBLAGE DES PRODUCTIONS AUDIOVISUELLES)",,LANGUES,,,,,
,Agent mairie service culturel,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Développement territorial et emploi,K1802,Développement local,,,,,CDI,Niveau technicien ou agent de maîtrise,"La fonction publique (d'Etat, territoriale ou hospitalière)",Administration publique,de 3 à 9,,,1000 à 1500,,Stage(s),12 mois et plus,2009,2211177,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","MEDIATION ET INGENIERIE CULTURELLES:MUSEOLOGIE, ARTS ACTUELS ET PATRIMOINE",,INFOCOM,,,,,
,mediateur culturel,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,"Action sociale, socio-éducative et socio-culturelle",K1206,Intervention socioculturelle,,,,,Vacataire,Niveau ouvrier ou employé,"La fonction publique (d'Etat, territoriale ou hospitalière)","Arts, spectacles et activités récréatives",de 3 à 9,,,1000 à 1500,,Autre mode d'obtention,12 mois et plus,2009,2211177,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","MEDIATION ET INGENIERIE CULTURELLES:MUSEOLOGIE, ARTS ACTUELS ET PATRIMOINE",,INFOCOM,,,,,
,expert en coopération linguistique et éducative,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Formation initiale et continue,K2111,Formation professionnelle,,,,,Volontariat international,Niveau ingénieur ou cadre,"La fonction publique (d'Etat, territoriale ou hospitalière)",Administration publique,de 3 à 9,,,2000 à 2500,,Réseaux sociaux et professionnels sur Internet,1 à 3 mois,2009,2201859,UFR LASH,"ARTS, LETTRES, LANGUES : DIDACTIQUES DES LANGUES",DIDACTIQUE DES LANGUES,,LANGUES,,,,,
